Pret,Versiune,Vechime,Km,Putere,Capacitate cilindrica,Marca,Model,Combustibil,Transmisie,Norma de poluare,Cutie de viteze,Tip Caroserie,Optiuni culoare,Tara de origine,Stare
5590,1.4 Comfortline,14.0,192034,80,1390,Volkswagen,Golf,Benzina,Fata,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
21589,PureTech 180 Stop &amp; Start GPF EAT8 GT,5.0,87750,181,1598,Peugeot,3008,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
7900,2.7TDV6 S Aut,15.0,300000,190,2720,Land Rover,Range Rover Sport,Diesel,4x4 (automat),Euro 4,Automata,SUV,Metalizata,Germania,Second hand
8100,Avant 2.0 TDI DPF multitronic S line Sportpaket,10.0,256000,150,1968,Audi,A4,Diesel,Fata,Euro 5,Automata,Combi,Metalizata,Germania,Second hand
37499,520d xDrive MHEV,3.0,118000,190,1995,BMW,Seria 5,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
16950,1.6 TDI Ambition,6.0,128000,116,1598,Skoda,Karoq,Diesel,4x4 (automat),Euro 6,Manuala,SUV,Metalizata,Italia,Second hand
13000,ENERGY dCi 160 EDC INTENS,8.0,213000,160,1598,Renault,Talisman,Diesel,Fata,Euro 6,Automata,Sedan,Metalizata,Franta,Second hand
7280,2.0 CDTI Sports Tourer Automatik Business Innovation,10.0,178000,130,1956,Opel,Insignia,Diesel,Fata,Euro 5,Automata,Combi,Metalizata,Germania,Second hand
9390,1.6 TWINPORT ECOTEC Enjoy Aut.,6.0,148250,115,1598,Opel,Astra,Benzina,Fata,Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
16989,1.0 TSI DSG Ambition,2.0,44374,110,999,Skoda,Scala,Benzina,Fata,Euro 6,Automata,Compacta,Mat,Romania,Second hand
62000,B5 D AWD Ultimate Bright,1.0,9000,235,1969,Volvo,XC 90,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
60299,300 e 4MATIC,3.0,23500,211,1991,Mercedes-Benz,GLC,Hibrid,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Germania,Second hand
21696,1.8 HSD 122 CP 4x2 CVT Core,3.0,44700,98,1798,Toyota,C-HR,Hibrid,Fata,Euro 6,Automata,SUV,Metalizata,Romania,Second hand
14845,ST 1.5 TGI Start&amp;Stop DSG Xcellence,5.0,131000,130,1498,Seat,Leon,Benzina + CNG,Fata,Euro 6,Automata,Combi,Metalizata,Germania,Second hand
33588,xDrive20d Aut. M Sport,4.0,163000,190,1995,BMW,X3,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Franta,Second hand
11490,1.6 TDI Sportback sport,7.0,219000,110,1598,Audi,A3,Diesel,Fata,Euro 6b,Manuala,Compacta,Metalizata,Belgia,Second hand
14790,1.6 GDI 6DCT HEV Premium,6.0,189000,105,1580,Kia,Niro,Hibrid,Fata,Euro 6,Automata,SUV,Metalizata,Germania,Second hand
43400,xDrive30i AT MHEV,2.0,51400,245,1998,BMW,X4,Benzina,4x4 (automat),Euro 6,Automata,SUV,Perlat,Germania,Second hand
17900,1.5 VTEC Turbo Sport,6.0,64000,182,1498,Honda,Civic,Benzina,Fata,Euro 6,Manuala,Compacta,Metalizata,Romania,Second hand
19489,1.5 i-VTEC CVT Executive,5.0,105943,130,1498,Honda,HR-V,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Romania,Second hand
77050,250 d Extralung Avantgarde,1.0,6000,190,1950,Mercedes-Benz,V,Diesel,Spate,Euro 6,Automata,Monovolum,Metalizata,Romania,Second hand
13289,1.6 TDI Comfortline,5.0,110020,115,1598,Volkswagen,Golf,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Romania,Second hand
16990,200 (CDI) d 7G-DCT Urban,9.0,212000,136,2143,Mercedes-Benz,GLA,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
11495,Combi 1.6 TDI (Green tec) Ambition,7.0,175179,110,1598,Skoda,Octavia,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Belgia,Second hand
8400,Estate dCi Intens,6.0,173583,90,1461,Renault,Clio,Diesel,Fata,Euro 6,Manuala,Combi,Mat,Romania,Second hand
22100,1.5 T-GDI 7DCT Best+,1.0,5,160,1482,Kia,Ceed,Benzina,Fata,Euro 6,Automata,Compacta,Metalizata,Slovacia,Nou
41650,xDrive30d AT,4.0,55983,265,2993,BMW,X3,Diesel,4x4 (automat),Euro 6,Automata,SUV,Perlat,Germania,Second hand
20200,1.6 T-GDI 7DCT 4x4 GT Line,6.0,63500,177,1591,Kia,Sportage,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
22300,200 7G-DCT,5.0,106000,163,1332,Mercedes-Benz,A,Benzina,Fata,Euro 6,Automata,Compacta,Metalizata,Germania,Second hand
23990,2.0 TDI DSG 4Motion Highline,5.0,144198,190,1968,Volkswagen,Passat,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
10250,CD175 4x4 AT Revolution,11.0,239637,175,2191,Mazda,CX-5,Diesel,4x4 (automat),Euro 5,Automata,SUV,Metalizata,Romania,Second hand
53600,B5 D AWD Geartronic Inscription,2.0,18900,235,1969,Volvo,XC 90,Diesel,4x4 (manual),Euro 6d,Automata,SUV,Metalizata,Germania,Second hand
59999,730d xDrive MHEV,3.0,86500,286,2993,BMW,Seria 7,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
16489,2.0 TDCi 4WD Powershift Trend,5.0,127575,150,1997,Ford,Kuga,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
13989,Combi Diesel 1.6 TDI DSG Style,5.0,154000,116,1598,Skoda,Octavia,Diesel,Fata,Euro 6,Automata,Combi,Metalizata,Germania,Second hand
13900,20d RWD E-Performance Prestige,7.0,227000,163,1999,Jaguar,XF,Diesel,Spate,Euro 6,Automata,Sedan,Metalizata,Olanda,Second hand
15290,1.5 EcoBlue Titanium,5.0,97167,120,1499,Ford,Focus,Diesel,Fata,Euro 6,Manuala,Sedan,Metalizata,Romania,Second hand
6650,2.2 CRD 4WD Limited,11.0,313200,163,2143,Jeep,Compass,Diesel,4x4 (automat),Euro 5,Manuala,SUV,Metalizata,Belgia,Second hand
6250,0.9 TwinAir Dualogic Start&amp;Stop TwinAir Plus,13.0,170000,85,875,Fiat,500,Benzina,Fata,Euro 5b,Automata,Masina de oras,Perlat,Olanda,Second hand
44908,T8 Recharge AWD Geartronic RDesign,4.0,33940,303,1969,Volvo,S90,Hibrid,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
16590,1.6 GDI 6DCT HEV Comfort,8.0,63186,105,1580,Kia,Niro,Hibrid,Fata,Euro 6b,Automata,SUV,Metalizata,Austria,Second hand
47979,2.0 TDI 4X4 DSG SportLine,1.0,50,200,1968,Skoda,Kodiaq,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
2790,1.2 TSI,13.0,238000,86,1197,Skoda,Roomster,Benzina,Fata,Euro 5,Manuala,Monovolum,Metalizata,Germania,Second hand
79211,110 3.0D 200 MHEV SE,1.0,11322,200,2996,Land Rover,Defender,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
62899,400 d 4MATIC Long Aut,7.0,87607,340,2925,Mercedes-Benz,S,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
25990,640d xDrive,9.0,174000,313,2993,BMW,Seria 6,Diesel,4x4 (automat),Euro 6,Automata,Coupe,Metalizata,Romania,Second hand
28990,320i AT,5.0,145500,184,1998,BMW,Seria 3,Benzina,Spate,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
8999,1.6 CDTI ECOTEC Innovation,7.0,219000,110,1598,Opel,Astra,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Germania,Second hand
4500,1.8 TDCi Trend,16.0,236000,100,1753,Ford,Mondeo,Diesel,Fata,Euro 4,Manuala,Sedan,Metalizata,Franta,Second hand
9000,xDrive18d,12.0,217587,143,1995,BMW,X1,Diesel,4x4 (automat),Euro 5,Manuala,SUV,Metalizata,Germania,Second hand
11095,Combi 1.6 TDI (Green tec) Ambition,7.0,175179,110,1598,Skoda,Octavia,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Belgia,Second hand
29789,2.2 CRDi AWD Aut. GT Line,6.0,69765,200,2199,Kia,Sorento,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
41979,xDrive25d M Sport X,5.0,99000,231,1995,BMW,X4,Diesel,4x4 (automat),Euro 6d-Temp,Automata,SUV,Perlat,Romania,Second hand
27553,DS7 1.5 BlueHDi 130 S&amp;S EAT8 RIVOLI,5.0,134223,180,1996,DS Automobiles,DS 7 Crossback,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
16149,1.0 EcoBoost Titanium Business,4.0,48415,125,999,Ford,Focus,Benzina,Fata,Euro 6,Automata,Compacta,Metalizata,Romania,Second hand
12499,ENERGY TCe EDC Intens,6.0,110790,120,1197,Renault,Captur,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
22700,220 d 4MATIC,7.0,229300,170,2143,Mercedes-Benz,GLC,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
13982,1.5 DCI EDC Intens,6.0,151000,110,1461,Renault,Kadjar,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Germania,Second hand
27991,520d xDrive AT,6.0,103035,190,1995,BMW,Seria 5,Diesel,4x4 (automat),Euro 6,Automata,Combi,Metalizata,Romania,Second hand
3599,118d,20.0,223000,122,1995,BMW,Seria 1,Diesel,Spate,Euro 4,Manuala,Masina de oras,Metalizata,Austria,Second hand
27450,2.3 dCi Bi Turbo Double Cab Tekna Aut.,6.0,136252,190,2298,Nissan,Navara,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
14300,3.0 I TDV6 HSE,12.0,212000,258,2993,Land Rover,Range Rover,Diesel,4x4 (automat),Euro 5,Automata,SUV,Metalizata,Germania,Second hand
87900,3.0 55 TFSI e quattro Tiptronic,1.0,2772,340,2995,Audi,Q8,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
91845,300 d Extralung Avantgarde,1.0,2,239,1950,Mercedes-Benz,V,Diesel,4x4 (automat),Euro 6d,Automata,Monovolum,Metalizata,Spania,Nou
4790,1.2 TSI Ambition,13.0,158000,86,1197,Skoda,Fabia,Benzina,Fata,Euro 5,Manuala,Masina de oras,Metalizata,Germania,Second hand
12999,180 (BlueEFFICIENCY),11.0,89900,122,1595,Mercedes-Benz,A,Benzina,Fata,Euro 6,Manuala,Compacta,Metalizata,Germania,Second hand
83990,300 4MATIC Aut.,3.0,17950,211,1991,Mercedes-Benz,E,Hibrid,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
12799,1.5 Blue dCi Stepway,6.0,125000,95,1461,Dacia,Dokker,Diesel,Fata,Euro 6,Manuala,Monovolum,Perlat,Romania,Second hand
5550,TB 1.4 16V MultiAir Quadrifoglio Verde,14.0,189062,170,1368,Alfa Romeo,Mito,Benzina,Fata,Euro 5,Manuala,Masina de oras,Metalizata,Germania,Second hand
11089,IV dCi Energy Intens,5.0,65641,90,1461,Renault,Clio,Diesel,Fata,Euro 6,Manuala,Masina de oras,Metalizata,Romania,Second hand
16699,BLUE dCi 115 EDC BOSE EDITION,4.0,148874,115,1461,Renault,Kadjar,Diesel,Fata,Euro 6,Automata,SUV,Perlat,Franta,Second hand
11000,2.0 TDI S tronic,9.0,191000,150,1968,Audi,A4,Diesel,Fata,Euro 6,Automata,Combi,Mat,Germania,Second hand
7500,2.0 CDTI Automatik Style,9.0,240500,164,1956,Opel,Astra,Diesel,Fata,Euro 6,Automata,Compacta,Metalizata,Germania,Second hand
17950,Avant 2.0 TDI S tronic quattro,7.0,256000,190,1968,Audi,A4,Diesel,4x4 (automat),Euro 6,Automata,Combi,Metalizata,Germania,Second hand
13750,1.0 Ecoboost Titanium,4.0,50388,125,999,Ford,EcoSport,Benzina,Fata,Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
15999,xDrive40d Edition Exclusive,14.0,219000,306,2993,BMW,X6,Diesel,4x4 (automat),Euro 5,Automata,SUV,Metalizata,Romania,Second hand
21489,3.0TD TipTronic,11.0,230000,245,2967,Porsche,Cayenne,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
7390,1.0 MPI High,6.0,133703,75,999,Volkswagen,up!,Benzina,Fata,Euro 6d-Temp,Manuala,Masina de oras,Metalizata,Romania,Second hand
74100,400 d 4Matic 9G-TRONIC AMG Line,3.0,99700,330,2925,Mercedes-Benz,GLE Coupe,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
10390,1.8 Hybrid Executive,11.0,197792,136,1798,Toyota,Auris,Hibrid,Fata,Euro 5,Automata,Compacta,Metalizata,Italia,Second hand
15890,GTE,8.0,180000,150,1395,Volkswagen,Golf,Hibrid,Fata,Euro 6d-Temp,Automata,Compacta,Perlat,Belgia,Second hand
39950,xDrive30d,6.0,99900,258,2993,BMW,X5,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
27900,2.0 TSI DSG R,4.0,67100,310,1984,Volkswagen,Golf,Benzina,4x4 (automat),Euro 6,Automata,Compacta,Metalizata,Germania,Second hand
25999,2.0 TDI 4Drive DSG SCR Xcellence,3.0,169500,200,1968,Seat,Tarraco,Diesel,4x4 (automat),Euro 6c,Automata,SUV,Perlat,Germania,Second hand
12990,730d Aut.,14.0,243000,245,2993,BMW,Seria 7,Diesel,Spate,Euro 5,Automata,Sedan,Metalizata,Germania,Second hand
16990,xDrive40d,13.0,300000,306,2993,BMW,X6,Diesel,4x4 (automat),Euro 5,Automata,SUV,Perlat,Romania,Second hand
11050,D Aut.,10.0,141000,116,1496,Mini,Cooper,Diesel,Fata,Euro 6,Automata,Masina mica,Metalizata,Italia,Second hand
12590,1.5 Blue dCi 4WD Comfort,5.0,179900,115,1461,Dacia,Duster,Diesel,4x4 (manual),Euro 6,Manuala,SUV,Mat,Romania,Second hand
6100,1.9 TDI Cupra,19.0,230000,160,1896,Seat,Ibiza,Diesel,Fata,Euro 3,Manuala,Coupe,Metalizata,Germania,Second hand
13390,1.0 EcoBoost MHEV Connected,3.0,60000,125,999,Ford,Focus,Benzina,Fata,Euro 6d-Temp,Manuala,Compacta,Perlat,Romania,Second hand
8790,1.6 TDI Ambition,7.0,236900,110,1598,Skoda,Octavia,Diesel,Fata,Euro 6,Manuala,Combi,Mat,Romania,Second hand
11300,Avant 2.0 TDI Multitronic,11.0,250000,177,1968,Audi,A6,Diesel,Fata,Euro 5a,Automata,Combi,Metalizata,Germania,Second hand
8490,Combi 1.6 TDI Ambition,13.0,232974,105,1598,Skoda,Superb,Diesel,Fata,Euro 5,Manuala,Combi,Metalizata,Belgia,Second hand
33199,2.0 D150 R-Dynamic HSE,4.0,81050,150,1999,Land Rover,Range Rover Evoque,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
27900,2.0 TSI DSG R,4.0,67100,310,1984,Volkswagen,Golf,Benzina,4x4 (automat),Euro 6,Automata,Compacta,Metalizata,Germania,Second hand
4600,1.4 Comfortline,14.0,288000,80,1390,Volkswagen,Golf,Benzina,Fata,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
11950,1.5 EcoBlue Titanium,5.0,81836,120,1499,Ford,Focus,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Romania,Second hand
5990,Sportback 1.6 TDIe Attraction,13.0,270000,105,1598,Audi,A3,Diesel,Fata,Euro 5,Manuala,Compacta,Metalizata,Belgia,Second hand
11750,Estate Blue dCI Intens,5.0,164000,116,1461,Renault,Megane,Diesel,Fata,Euro 6,Manuala,Combi,Mat,Romania,Second hand
20900,1.8 HSD Dynamic,4.0,98950,98,1798,Toyota,Corolla,Hibrid,Fata,Euro 6,Automata,Compacta,Metalizata,Romania,Second hand
50390,xDrive30d,5.0,165000,265,2993,BMW,X5,Diesel,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Germania,Second hand
11990,520d Aut.,11.0,282931,184,1995,BMW,Seria 5,Diesel,Spate,Euro 5,Automata,Sedan,Metalizata,Spania,Second hand
23488,Sportback 40 TFSI S tronic,5.0,97292,190,1984,Audi,A5,Benzina,Fata,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
22990,2.0 TDI DSG 4Mot Highline,7.0,195297,190,1968,Volkswagen,Tiguan,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
12000,Variant 1.6 TDI (BlueMotion Technology) DSG Comfortline,7.0,197500,120,1598,Volkswagen,Passat,Diesel,Fata,Euro 6,Automata,Combi,Metalizata,Franta,Second hand
223293,AMG 63 SW Long Aut.,1.0,1,585,3982,Mercedes-Benz,G,Benzina,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Germania,Nou
17900,SKYACTIV-D 150 Exclusive-Line,6.0,163500,150,2191,Mazda,CX-5,Diesel,Fata,Euro 6b,Manuala,SUV,Perlat,Belgia,Second hand
30000,2.0 40 TDI quattro S tronic Sport,5.0,179000,190,1968,Audi,Q5,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
6590,Grandtour ENERGY dCi 110 Start &amp; Stopp Bose Edition,12.0,183000,110,1461,Renault,Megane,Diesel,Fata,Euro 5,Manuala,Combi,Perlat,Franta,Second hand
27989,1.5 TSI DSG Ambition,2.0,13162,150,1498,Skoda,Superb,Benzina,Fata,Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
30149,P300 AWD Aut. R-Dynamic HSE,5.0,52720,300,1998,Jaguar,E-Pace,Benzina,4x4 (manual),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
15000,1.4 ALLGRIP Passion,7.0,79356,140,1373,Suzuki,SX4 S-Cross,Benzina,4x4 (automat),Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
69000,Standard,5.0,67000,600,4395,BMW,M5,Benzina,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
33800,M50d,10.0,140000,381,2993,BMW,X5 M,Diesel,4x4 (automat),Euro 6c,Automata,SUV,Perlat,Germania,Second hand
41800,740d xDrive,6.0,143000,320,2993,BMW,Seria 7,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Perlat,Germania,Second hand
39900,55 TFSI quattro S tronic design,5.0,115102,340,2995,Audi,A6,Benzina,4x4 (manual),Euro 6,Automata,Sedan,Perlat,Germania,Second hand
49300,R-Dynamic 2.0,5.0,38400,250,1998,Land Rover,Range Rover Velar,Benzina,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Romania,Second hand
5799,1.2 TDI Blue Motion,12.0,227000,75,1199,Volkswagen,Polo,Diesel,Fata,Euro 5,Manuala,Compacta,Metalizata,Olanda,Second hand
19899,1.5-litre 16-valve DOHC MIVEC 4X4 Instyle+ Aut.,6.0,115900,163,1499,Mitsubishi,Eclipse-Cross,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Belgia,Second hand
28350,2.0 Panther A8 AWD Titanium,5.0,59107,238,1996,Ford,Edge,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
29990,2.5 Hybrid VVT-iE 4x2 Dynamic,4.0,76186,178,2487,Toyota,RAV4,Hibrid,Fata,Euro 6,Automata,SUV,Metalizata,Romania,Second hand
94739,580 MHEV 4MATIC,4.0,53900,489,3982,Mercedes-Benz,GLE,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
9750,2.0D Active,12.0,172921,147,1998,Subaru,XV,Diesel,4x4 (automat),Euro 5,Manuala,SUV,Metalizata,Italia,Second hand
40300,M340i xDrive AT MHEV,4.0,99999,374,2998,BMW,M3,Benzina,4x4 (automat),Euro 6,Automata,Sedan,Perlat,Germania,Second hand
9250,318d DPF Touring Aut.,10.0,267500,143,1995,BMW,Seria 3,Diesel,Spate,Euro 5,Automata,Combi,Perlat,Germania,Second hand
12190,1.3 Dual VVT-i Terra,5.0,80000,99,1329,Toyota,Auris,Benzina,Fata,Euro 6d-Temp,Manuala,Compacta,Perlat,Romania,Second hand
16500,2.0 TDI DSG Style,7.0,199000,150,1968,Skoda,Superb,Diesel,Fata,Euro 6,Automata,Sedan,Metalizata,Olanda,Second hand
20290,2.0 TDI (Green tec) DSG Style,3.0,147000,150,1968,Skoda,Octavia,Diesel,Fata,Euro 6d,Automata,Sedan,Metalizata,Romania,Second hand
45499,2.0 TDI 4X4 DSG SportLine,1.0,6300,200,1968,Skoda,Kodiaq,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
23500,2.0 TDI 4x4 DSG Sportline,5.0,228000,150,1968,Skoda,Kodiaq,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
4300,2.0 TDI Reference,13.0,284535,143,1968,Seat,Exeo,Diesel,Fata,Euro 5,Manuala,Sedan,Metalizata,Romania,Second hand
29700,350 BlueTEC 9G-TRONIC,8.0,188300,258,2987,Mercedes-Benz,E,Diesel,Spate,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
36878,3.0 TDI Quattro Tiptronic,7.0,131271,262,2967,Audi,A8,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Danemarca,Second hand
35400,2.0I 2WD Dynamic,2.0,6000,152,1987,Toyota,Corolla Cross,Hibrid,Fata,Euro 6,Automata,Compacta,Metalizata,Romania,Second hand
11989,1.6 TDI DSG Highline,7.0,176100,115,1598,Volkswagen,Golf,Diesel,Fata,Euro 6,Automata,Combi,Metalizata,Italia,Second hand
9390,1.4 ECOTEC Turbo Active,5.0,69975,140,1364,Opel,Astra,Benzina,Fata,Euro 6,Manuala,Sedan,Metalizata,Romania,Second hand
10800,318d DPF Touring Aut.,10.0,160000,143,1995,BMW,Seria 3,Diesel,Spate,Euro 5,Automata,Combi,Metalizata,Germania,Second hand
34250,2.5 Hybrid VVT-iE 4x4 Luxury,5.0,97758,178,2487,Toyota,RAV4,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Japonia,Second hand
5400,1.4 TSI Freestyle,14.0,149000,140,1390,Volkswagen,Touran,Benzina,Fata,Euro 5,Manuala,Monovolum,Metalizata,Germania,Second hand
7390,1.6 BlueHDi S&amp;S BVM Feel,5.0,181878,75,1560,Citroën,C3,Diesel,Fata,Euro 6,Manuala,Masina de oras,Metalizata,Franta,Second hand
16500,2.3 dCi Double Cab Visia,5.0,153200,163,2298,Nissan,Navara,Diesel,4x4 (manual),Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
7350,1.0 SCe Acces,5.0,101515,73,998,Dacia,Logan,Benzina,Fata,Euro 6,Manuala,Sedan,Metalizata,Romania,Second hand
9790,520d,13.0,313551,184,1995,BMW,Seria 5,Diesel,Spate,Euro 5,Manuala,Sedan,Metalizata,Olanda,Second hand
24950,2.5 VVT-i HSD 4x4 Executive,6.0,83977,155,2494,Toyota,RAV4,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
19990,420i Gran Coupe xDrive Sport-Aut. Sport Line,7.0,265000,184,1998,BMW,Seria 4,Benzina,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
57389,220 d 4MATIC Aut.,2.0,33500,194,1950,Mercedes-Benz,E,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
9790,IV 1.2 Life,6.0,35792,75,1149,Renault,Clio,Benzina,Fata,Euro 6,Manuala,Masina mica,Metalizata,Romania,Second hand
44000,400 d 4Matic 9G-TRONIC,5.0,96500,340,2925,Mercedes-Benz,CLS,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
35243,530d xDrive AT,5.0,127000,265,2993,BMW,Seria 5,Diesel,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
10999,TCe 125 4WD Prestige,5.0,148000,125,1197,Dacia,Duster,Benzina,4x4 (manual),Euro 6,Manuala,SUV,Metalizata,Belgia,Second hand
30690,180 d 7G-DCT AMG Line,5.0,100039,116,1461,Mercedes-Benz,CLA,Diesel,Fata,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
18870,180 d T 9G-TRONIC,5.0,172872,122,1598,Mercedes-Benz,C,Diesel,Spate,Euro 6d,Automata,Combi,Metalizata,Germania,Second hand
25900,2.0 TDI DSG (BlueMotion Technology) Highline,7.0,99455,184,1968,Volkswagen,Sharan,Diesel,Fata,Euro 6,Automata,Monovolum,Metalizata,Italia,Second hand
17900,1.0 EcoBoost 7DCT mHEV ST Line,2.0,9123,125,999,Ford,Fiesta,Benzina,Fata,Euro 6,Automata,Masina de oras,Metalizata,Germania,Second hand
39500,350 d 4MATIC,9.0,157034,258,2987,Mercedes-Benz,GLE,Diesel,4x4 (automat),Euro 6,Automata,SUV,Mat,Romania,Second hand
9700,1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Edition,6.0,145000,110,1598,Opel,Astra,Diesel,Fata,Euro 6,Manuala,Sedan,Metalizata,Olanda,Second hand
27099,1.5 TSI DSG Ambition,2.0,29931,150,1498,Skoda,Superb,Benzina,Fata,Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
22800,1.0 TFSI S tronic Design,5.0,44705,116,999,Audi,Q2,Benzina,Fata,Euro 6,Automata,SUV,Metalizata,Romania,Second hand
15800,2.0 TDI 4Mot DSG Highline,6.0,285200,150,1968,Volkswagen,Tiguan,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
5899,1.4 Turbo Sports Tourer ecoFLEX Start/Stop Exklusiv,13.0,168245,140,1364,Opel,Astra,Benzina,Fata,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
33990,3.0 PDK S,8.0,150000,258,2967,Porsche,Macan,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
9690,1.5 BlueHDI FAP Active,6.0,103702,102,1499,Peugeot,2008,Diesel,Fata,Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
8599,2.0 CDTI L2H1 DPF Life Cosmo,11.0,256899,114,1995,Opel,Vivaro,Diesel,Fata,Euro 5,Manuala,Monovolum,Metalizata,Olanda,Second hand
33989,2.0 40 TDI quattro S tronic Sport,5.0,67963,190,1968,Audi,Q5,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Romania,Second hand
15690,2.0 TDI Comfortline,6.0,193482,150,1968,Volkswagen,Passat,Diesel,Fata,Euro 6,Manuala,Sedan,Metalizata,Romania,Second hand
99900,Standard,1.0,9900,340,2995,Porsche,Cayenne,Benzina,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
11199,1.6 TDI Sportback S tronic Ambiente,10.0,216400,105,1598,Audi,A3,Diesel,Fata,Euro 5,Automata,Compacta,Metalizata,Germania,Second hand
21000,1.6 T-GDi 4WD 6MT Style,6.0,82000,177,1591,Hyundai,Tucson,Benzina,4x4 (automat),Euro 6,Manuala,SUV,Metalizata,Romania,Second hand
12300,1.7 CRDI 2WD Vision,7.0,197000,115,1685,Kia,Sportage,Diesel,Fata,Euro 6,Manuala,SUV,Metalizata,Belgia,Second hand
